id, Last,First,Work number , Mobile number, Home number, email
001,Bernal Alonso,Alejandro,4506603696,  5143065939,  4381162735,     a.bernalalonso@gmail.com
002,Bien-Aimé,Bianca,4509418744, 5148482107,  4382843897,      b.bien-aimé@gmail.com
003,Dufort,Olivier,5148439980,  4386559767,   4502133298,    o.dufort@gmail.com
004,Ivascu,Victor,5148027880,  4383479879,   4509467104,    v.ivascu@gmail.com
005,Kairns,Logan,5146175204,  4386308442,   4505793577,    l.kairns@gmail.com
006,Keyhani,Ava,4503984767, 5145488325,  4384355240,       a.keyhani@gmail.com
007,Khalid,Faizaan,5147693295,  4388313026,   4504443234,    f.khalid@gmail.com
008,Konate,Zié Abdoul Malick,5146202448,  4384574463,   4507717977,    z.konate@gmail.com
009,Kossovsky,Eric,5149394984,  4381706737,   4505974865,    e.kossovsky@gmail.com
010,Leduc,Mattys,5147259237,  4387374032,   4502225439,    m.leduc@gmail.com
011,Li,Cunningham,5140688915,  4386151345,   4504218339,    c.li@gmail.com
012,Métras,Anthony,5144537932,  4386700926,   4504310381,    a.métras@gmail.com
013,Mir,Faiyazur Rahman,5149924148,  4500160813,  4386024226,     f.mir@gmail.com
014,Miri,Nima,5146587000,  4385708124,   4500146911,    n.miri@gmail.com
015,Misola-Rellin,Jeremy,5143538240,  4382099601,   4506212049,    j.misola-rellin@gmail.com
016,Pallares,Jean-David,5145873633,  4506537466, 4381284930,      j.pallares@gmail.com
017,Roos,Nathan,5144619193,  4388231651,   4501314140,    n.roos@gmail.com
018,Uribe Carrillo,Julian David,5145718065,  4380121106,   4504271046,    j.uribecarrillo@gmail.com
019,Villegas Morilla,José,5145453187,  4388513844,   4509750548,    j.villegasmorilla@gmail.com
020,Wade,Ryan,5146540624,  4385400674,   4508419785,    r.wade@gmail.com
021,Wellard,Liam,5148114113, 4501542538,  4389938337,       l.wellard@gmail.com
